npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq)
31,1712.7235047989707,1856.1927874605362,-825.3617523994853,1650.7235047989707,NA,NA,NA
58,1720.5845476124005,1989.0109474308133,-802.2922738062002,1604.5845476124005,46.138957186570224,27,0.012291734138012763
