intensity,session,calib_temp.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
no-pain,ketamine,0.045928577716120585,0.031683773279038,696.465954380239,-0.016278581260381356,0.10813573669262252,1.4495930554618301,0.1476221637362236
pain,ketamine,0.11472786053955533,0.03759337938817121,699.4621837168916,0.04091847334464578,0.1885372477344649,3.051810249749842,0.0023607735337379393
no-pain,placebo,0.028553221720245298,0.0376037926888518,696.1472784721396,-0.045277219919327136,0.10238366335981773,0.7593176027882508,0.4479196229235882
pain,placebo,0.2700032916616828,0.04706746133222741,694.140483250814,0.17759163035523512,0.3624149529681305,5.736516991130127,1.4431696528753216e-8
