intensity,calib_temp.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
no-pain,0.03724089971818294,0.028321196520675985,673.3641612238761,-0.018367577961978326,0.0928493773983442,1.31494796453939,0.18897502343493378
pain,0.19236557610061905,0.03430245322857607,676.7830675581787,0.12501355400224512,0.259717598198993,5.607924739924041,2.9847717890009946e-8
