npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq),comparison,row_id
31,1712.7235047989707,1856.1927874605362,-825.3617523994853,1650.7235047989707,NA,NA,NA,roi_activation_calib_temp_by_ROI,1
37,1718.0749888669811,1889.3125197856239,-822.0374944334906,1644.0749888669811,6.64851593198955,6,0.3545780572168401,roi_activation_calib_temp_by_ROI,2
31,1712.7235047989707,1856.1927874605362,-825.3617523994853,1650.7235047989707,NA,NA,NA,roi_activation_calib_temp_by_session,3
32,1712.1794529398992,1860.2767769776442,-824.0897264699496,1648.1794529398992,2.5440518590714873,1,0.11071035296722506,roi_activation_calib_temp_by_session,4
37,1718.0749888669811,1889.3125197856239,-822.0374944334906,1644.0749888669811,NA,NA,NA,roi_activation_calib_temp_by_ROI_by_session,5
44,1725.5747694469828,1929.2085899988824,-818.7873847234914,1637.5747694469828,6.500219419998302,7,0.4826988200254866,roi_activation_calib_temp_by_ROI_by_session,6
