session,calib_spread.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
ketamine,0.09590373193103151,0.024569299453134564,403.9043794013743,0.04062796887631206,0.15117949498575095,3.9033970876526585,1.1111964885007201e-4
placebo,0.17476211324525737,0.038375975889035026,403.9043794013861,0.08842422826476823,0.2610999982257465,4.553945774580061,1.3960427328721134e-5
