session,calib_temp.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
ketamine,0.08032821912783797,0.027349327328895872,681.1775669576414,0.018891547255198232,0.1417648910004777,2.937118641414166,0.003424585926917934
placebo,0.14927825669096403,0.03455340190632474,669.573624074586,0.0716555972806183,0.22690091610130977,4.320218804957661,3.590223957473732e-5
