ROI,calib_spread.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
ant_insula_L,0.08646831479076988,0.04675693985286318,401.75337111650754,-0.03996076317741509,0.21289739275895486,1.8493150976704684,0.06514666345529838
ant_insula_R,0.14044431969395416,0.046756939852863194,401.75337111650754,0.01401524172576915,0.26687339766213913,3.0037106820059343,0.003967575993816739
dACC,0.15489133524815088,0.046756939852863166,401.75337111650754,0.028462257279965958,0.28132041321633583,3.312691885644567,0.003527093036425947
dlPFC_R,0.16153823711729845,0.04675693985286319,401.75337111650754,0.03510915914911347,0.28796731508548346,3.454850501885584,0.003527093036425947
s1_R,0.1203569873674719,0.04675693985286319,401.75337111650754,-0.006072090600713079,0.2467860653356569,2.574098898392765,0.012142120065315891
s2_L,0.14251420694116648,0.04675693985286324,401.7533711164958,0.01608512897298131,0.26894328490935165,3.047979773476116,0.003967575993816739
s2_R,0.14111705695819934,0.04675693985286319,401.7533711164958,0.014687978990014311,0.26754613492638435,3.0180986480781837,0.003967575993816739
