npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq),model,comparison
11,934.2633636379439,963.7668071363104,-456.13168181897197,912.2633636379439,NA,NA,NA,base_no_temp,nps_model
12,933.0878777593977,965.2734524848883,-454.5439388796988,909.0878777593977,3.175485878546283,1,0.07475097603292352,plus_calib_temp,nps_model
