effect,term,estimate,std.error,statistic,df,p.value
fixed,(Intercept),10.943790418098494,3.7365517163370447,2.928847570943493,60.67504747731117,0.004786587160778652
fixed,intensity1,-2.983157401957176,0.2497855574443996,-11.942873849386606,67.16108972189497,2.8590502269644412e-18
fixed,session1,0.6038386413841802,0.10349778537362979,5.834314610735935,52.33500696688477,3.4457691267299055e-7
fixed,calib_temp,-0.1574944587570445,0.08524904492168421,-1.847463029078273,60.587316235160344,0.06956376037271009
fixed,intensity1:session1,-0.35615967415254035,0.10385542218215812,-3.429379676757281,52.85576671552629,0.0011805640034500406
