effect,term,estimate,std.error,statistic,df,p.value
fixed,(Intercept),-71.98290474192117,44.93214218178113,-1.6020358978368152,63.7199869311089,0.11409396263547393
fixed,intensity1,4.737827715305894,2.5997797389542825,1.8223958146591315,64.4439577497989,0.07303497363142167
fixed,session1,-4.037670055658463,1.8542670460927364,-2.1775019214015248,25.991587594622175,0.038710018555531515
fixed,calib_temp,1.943751660012122,1.0254786505391371,1.8954579493100225,63.53092242645394,0.06258289512750144
fixed,intensity1:session1,-2.2347238825733666,1.02955803535921,-2.170566209794747,26.229394350878046,0.03919802224713456
