effect,term,estimate,std.error,statistic,df,p.value
fixed,(Intercept),13.020234982498053,2.911105919882269,4.472607778910572,26.000002298512197,1.3522446053900583e-4
fixed,intensity1,8.93129194477653,1.3633684478720727,6.550901158609305,26.00000334826102,6.036643560199453e-7
fixed,session1,-4.019672355102788,1.851865809147715,-2.1706067120234613,26.000004839207392,0.03927844390059636
fixed,intensity1:session1,-2.468693989797048,1.0596436954028252,-2.3297397044943207,25.999994546681016,0.027854691752237447
