npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq),model,comparison
16,633.1604519318998,696.1187590618133,-300.5802259659499,601.1604519318998,NA,NA,NA,base_no_spread,roi_diff_model
17,609.7476675562189,676.6408688817519,-287.87383377810943,575.7476675562189,25.412784375680985,1,4.6284066821317566e-7,plus_calib_spread,roi_diff_model
