ROI,calib_temp.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
ant_insula_L,0.046885953841157096,0.04569741595130765,800.1206516101483,-0.0763622355008053,0.17013414318311948,1.0260088642893042,0.3051974847704449
ant_insula_R,0.06593230685164446,0.04569741595130699,800.12065160982,-0.0573158824903163,0.18918049619360522,1.4428016437931372,0.2615684856378272
dACC,0.09846375188661911,0.04569741595130703,800.1206516109459,-0.024784437455341313,0.22171194122857954,2.1546897091848116,0.0734625127655549
dlPFC_R,0.05334968225370114,0.04569741595130706,800.1206516108051,-0.06989850708825941,0.1765978715956617,1.1674551206691417,0.28393681024050865
s1_R,0.14768553049448122,0.04569741595130898,800.1206516101483,0.024437341152515224,0.2709337198364472,3.231813603023889,0.008962849107463016
s2_L,0.053932451253342624,0.045697415951308426,800.1206516100546,-0.0693157380886219,0.17718064059530717,1.1802078986437397,0.28393681024050865
s2_R,0.13373665098265664,0.04569741595130737,800.1206516060201,0.010488461640693336,0.25698484032461993,2.9265692205694736,0.012335034814653617
