npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq),model,comparison
30,1719.833702528969,1858.6749438143552,-829.9168512644845,1659.833702528969,NA,NA,NA,base_no_temp,roi_activation_model
31,1712.7235047989707,1856.1927874605362,-825.3617523994853,1650.7235047989707,9.11019772999839,1,0.0025418839450787162,plus_calib_temp,roi_activation_model
