npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq),comparison,row_id
17,609.7476675562189,676.6408688817519,-287.87383377810943,575.7476675562189,NA,NA,NA,roi_diff_calib_spread_by_ROI,1
23,619.400991627895,709.9035581271455,-286.7004958139475,573.400991627895,2.3466759283238616,6,0.885216991307637,roi_diff_calib_spread_by_ROI,2
17,609.7476675562189,676.6408688817519,-287.87383377810943,575.7476675562189,NA,NA,NA,roi_diff_calib_spread_by_session,3
18,607.4626730970771,678.2907686182297,-285.73133654853854,571.4626730970771,4.284994459141785,1,0.03845020788637361,roi_diff_calib_spread_by_session,4
23,619.400991627895,709.9035581271455,-286.7004958139475,573.400991627895,NA,NA,NA,roi_diff_calib_spread_by_ROI_by_session,5
30,628.6979320150803,746.744757883668,-284.3489660075401,568.6979320150803,4.703059612814741,7,0.696147466055926,roi_diff_calib_spread_by_ROI_by_session,6
