ROI,pain_p,dep_p,der_p,amn_p,p_anova,f_stat,df1,df2,adj_r2_m1,adj_r2_m2,aic_m1,aic_m2,pain_sig,dissoc_sig
ant_insula_L,8.908381914217275e-4,0.8245602690230568,0.9795307851819945,0.8272659258791444,0.9694104070818738,0.08146514914027883,3,22,0.429037715203866,0.3583077070517383,44.589295433217124,50.2910093281566,***,
ant_insula_R,0.0029544087860615097,0.5800411928586353,0.6999426519136168,0.7032423398333296,0.8529915331103548,0.26057821991487573,3,22,0.39426258732643227,0.33528172709351767,50.79316816350463,55.850418610098885,**,
dACC,0.0029703010516261806,0.8922166940748988,0.9649797619569501,0.6553048688903977,0.9217867346501774,0.16045504794960194,3,22,0.37546747352615706,0.3054997745046598,55.88363806622575,61.29924205092745,**,
dlPFC_R,0.005440426203281941,0.6204611163141813,0.6605101483696252,0.44915126751128187,0.7609972680547812,0.3904987374659924,3,22,0.33567075069408847,0.2832473535411363,50.064796392126404,54.66402401485482,**,
s1_R,0.08854207311448412,0.3835883281096376,0.8749019178859698,0.25769360456303103,0.631793036171183,0.5840302209390104,3,22,0.1985594444937272,0.15645261833635515,53.64658176424003,57.57762303302288,,
s2_L,0.040016461980603255,0.5998867034356481,0.31203251218776396,0.7949394977375439,0.7773465943441917,0.36722936885923213,3,22,0.17285221191025468,0.10488382464328105,59.499025697449,64.17971822538223,*,
s2_R,0.033038157930579,0.982772580259542,0.6620338784159001,0.8451113145691304,0.9681761239194859,0.08377050203557858,3,22,0.20799826450795822,0.1101628602041258,53.82795724796878,59.52127781245874,*,
