intensity,calib_temp.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
no-pain,0.03724089971818294,0.028321196520675985,673.3641612238761,-0.026380584104751734,0.10086238354111761,1.31494796453939,0.18897502343493378
pain,0.19236557610061905,0.03430245322857607,676.7830675581787,0.1153085116443002,0.2694226405569379,5.607924739924041,5.969543578001989e-8
