session,intensity,emmean,SE,df,lower.CL,upper.CL
ketamine,high,15.46316058237475,4.393087356827308,29.20008627257758,5.082451906174825,25.843869258574674
placebo,high,28.439893272174423,4.21557213819548,29.49127939438316,18.4839617506462,38.395824793702644
ketamine,low,2.5379646724157823,3.3237643428751453,31.80881868190581,-5.281290307295766,10.35721965212733
placebo,low,5.639921403027262,3.380026237602554,31.601234393364187,-2.314274653390405,13.59411745944493
