effect,term,estimate,std.error,statistic,df,p.value
fixed,(Intercept),0.3857275745118488,0.011161265856955751,34.559482719557444,27.999999996995406,1.6542942409892928e-24
fixed,session1,0.00579240762368206,0.0067615537095850045,0.8566681376014055,251.99999999720464,0.3924422100928868
fixed,network1,-0.007436967234082788,0.013523107419170012,-0.5499451423080713,251.99999999971757,0.5828440824526798
fixed,network2,0.06552826808644806,0.013523107419170009,4.845651672747706,251.99999999720464,2.207064825482703e-6
fixed,network3,-0.18981484131081622,0.013523107419170009,-14.036333176037601,251.99999999720464,1.8564511348696812e-33
fixed,network4,-0.07403247583439249,0.013523107419170009,-5.47451658406898,251.99999999720464,1.0593744385937849e-7
fixed,session1:network1,0.03046497941196749,0.01352310741917001,2.2528090968782157,251.99999999971752,0.025131878464713864
fixed,session1:network2,0.005426062225527571,0.013523107419170009,0.4012437420881332,251.99999999720464,0.6885807045857493
fixed,session1:network3,-0.008564762335905531,0.013523107419170009,-0.6333427717777605,251.99999999720464,0.5270841911243602
fixed,session1:network4,-0.011303996256108086,0.013523107419170009,-0.8359022749522667,251.99999999720464,0.4040017560591127
