npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq),model,comparison
8,408.46690674856285,430.2148977189236,-196.23345337428142,392.46690674856285,NA,NA,NA,base_no_temp,pain_rating_model
9,407.81125941416434,432.2777492558202,-194.90562970708217,389.81125941416434,2.655647334398509,1,0.10318274379172626,plus_calib_temp,pain_rating_model
