session,intensity,calib_temp.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
ketamine,no-pain,0.045928577716120585,0.031683773279038,696.465954380239,-0.0252413966941692,0.11709855212641038,1.4495930554618301,0.2952443274724472
placebo,no-pain,0.028553221720245298,0.0376037926888518,696.1472784721396,-0.055914735874348864,0.11302117931483946,0.7593176027882508,0.4479196229235882
ketamine,pain,0.11472786053955533,0.03759337938817121,699.4621837168916,0.030284161421598094,0.19917155965751257,3.051810249749842,0.0023607735337379393
placebo,pain,0.2700032916616828,0.04706746133222741,694.140483250814,0.16427679552110253,0.37572978780226307,5.736516991130127,2.886339305750643e-8
